기준연월,분석영역,10대,20대,30대,40대,50대,60대,70대 이상
201606,우1동,5010,9118,13440,13671,11476,7137,3485
201606,부전1동,1165,5232,5139,4983,5797,4686,2204
201606,부전2동,3360,18412,11451,8482,7694,4755,2139
201606,남포동,1187,3144,3596,4150,5182,3709,1583
201606,괘법동,2334,7192,7079,8861,11012,5137,1811
201607,남포동,1600,3508,4014,4591,5440,3858,1688
201607,우2동,5660,9884,13987,13977,9878,6123,2634
201607,부전1동,1820,6235,5839,5797,6356,4931,2345
201607,괘법동,2592,7193,8274,10352,12524,5888,2019
201607,부전2동,4586,19462,12429,10078,9149,5775,2623
201607,우1동,5426,9631,12611,12972,10591,6673,3242
201608,부전1동,2027,6662,6302,6102,6652,5102,2400
201608,부전2동,4940,20096,13393,10996,10228,6534,2988
201608,우1동,5485,10148,12554,12771,10407,6550,3195
201608,괘법동,2705,7540,8526,10534,12705,5954,2017
201608,남포동,1639,3726,4263,4816,5626,4009,1760
201608,우2동,5816,10527,14583,14507,10360,6459,2751
201609,부전2동,5036,19452,13772,11337,10829,7000,3196
201609,우1동,4386,7296,10643,11100,9461,6155,3026
201609,괘법동,2936,8190,8661,10718,13038,6278,2102
201609,남포동,1563,3607,4258,4780,5682,4096,1815
201609,부전1동,2337,7287,6873,6592,7251,5530,2585
201609,우2동,4796,9077,13505,13155,9926,6316,2692
201610,부전2동,5356,18400,13481,11345,11118,7143,3263
201610,괘법동,3090,8087,8654,11008,13503,6509,2161
201610,우2동,5125,9294,13610,13600,10328,6541,2750
201610,부전1동,2630,7218,6984,6721,7484,5643,2645
201610,우1동,4726,7294,10721,11236,9624,6201,2969
201610,남포동,1745,3598,4337,4926,5892,4236,1866
201611,부전2동,5640,18324,13494,11679,11078,7042,3194
201611,우2동,5739,9402,13522,13530,10133,6310,2715
201611,남포동,1714,3690,4334,4890,5788,4111,1809
201611,부전1동,2770,7547,7219,6993,7607,5625,2627
201611,괘법동,3174,8250,8882,11279,13443,6413,2147
201611,우1동,4977,7531,11057,11514,9715,6199,2967
201612,우1동,6219,9789,13097,12699,10699,7201,3746
201612,부전2동,6901,27022,15156,10977,9880,6454,3060
201612,우2동,7117,13749,18088,15367,10561,6941,3098
201612,괘법동,2707,7799,6379,7545,9832,5245,1847
201612,부전1동,1712,6590,5712,5110,6237,5291,2591
201612,남포동,2615,5132,5067,5327,6241,4755,2161
201701,우1동,3777,5506,7579,8505,6859,4384,1884
201701,부전2동,10854,33780,31838,26928,24578,15220,5910
201701,우2동,6159,8782,12920,14299,10907,6910,2815
201701,부전1동,4714,11573,13101,12003,11527,7746,3166
201701,괘법동,3139,8281,9803,9873,11450,5565,1552
201701,남포동,2200,4859,5666,5786,5914,4191,1670
201702,괘법동,2535,8101,7865,7923,9345,4533,1335
201702,남포동,1948,4257,4232,4493,4677,3347,1352
201702,우2동,6426,10336,13941,14573,10818,6675,2859
201702,부전2동,8859,32157,24665,20390,18376,11227,4468
201702,부전1동,2660,7762,8239,7698,7775,5508,2376
201702,우1동,5036,7399,8975,10320,8473,5713,2721
201703,부전1동,2514,7277,7940,7446,7507,5367,2372
201703,우2동,6713,9914,14766,15626,11469,7137,3015
201703,괘법동,3042,8840,7780,7953,9390,4563,1364
201703,부전2동,8033,29006,23517,19538,17672,10906,4403
201703,남포동,1558,3864,4240,4377,4701,3474,1441
201703,우1동,4996,6071,8674,9805,8296,5692,2722
201704,남포동,1519,3721,4132,4263,4597,3379,1378
201704,부전1동,2657,7220,8012,7638,7677,5513,2379
201704,괘법동,2699,7624,6588,6757,7924,3859,1177
201704,부전2동,7432,26836,22362,18640,16759,10350,4113
201704,우1동,4889,6017,8779,9886,8357,5758,2759
201704,우2동,6742,9817,14489,15708,11501,7229,2992
201705,남포동,1814,3869,4181,4434,4638,3394,1388
201705,우1동,5774,6652,9513,10794,8795,6054,2897
201705,우2동,6773,9380,13682,15025,11034,6904,2944
201705,괘법동,2237,6081,4846,5127,5907,2871,908
201705,부전1동,4026,11549,11805,11058,10669,7323,3169
201705,부전2동,4468,16321,12026,9488,8361,5216,2118
201706,부전1동,4186,11566,11695,11019,10804,7560,3395
201706,남포동,1687,3882,4094,4340,4729,3491,1497
201706,부전2동,4598,16622,12494,10063,8940,5687,2368
201706,우2동,7553,10744,15241,16278,12108,7542,3318
201706,괘법동,2790,7522,6426,6687,7889,3883,1204
201706,우1동,5772,6684,9243,10465,8682,6029,2942
201707,우1동,5325,11833,14683,15111,12261,7784,2838
201707,우2동,7049,15284,21691,22463,17289,10863,3734
201707,부전1동,4325,16752,15855,14632,14112,9488,3515
201707,남포동,2184,5923,6379,6940,7805,5477,1870
201707,부전2동,6324,27900,19116,15507,13892,8578,2910
201707,괘법동,2843,10614,9832,10068,11824,5935,1517
201708,부전2동,6486,28333,18351,14653,12699,7793,2733
201708,우1동,5375,12786,15069,15244,11945,7322,2617
201708,괘법동,3219,12084,11183,11074,12848,6480,1663
201708,우2동,6788,15024,20565,20919,16158,9971,3413
201708,남포동,2366,6245,6576,7151,7899,5569,1947
201708,부전1동,4150,16178,14577,13197,12577,8548,3314
201709,우1동,3949,8669,12515,12847,10688,6739,2397
201709,부전1동,3821,15255,13481,12191,11739,8126,3242
201709,괘법동,3169,11859,10809,10931,12933,6612,1705
201709,남포동,1676,5176,5645,6085,7069,5253,1942
201709,부전2동,5789,24895,16978,13553,11971,7479,2691
201709,우2동,5675,12939,19543,20190,15778,9742,3291
201710,부전1동,4122,15112,13613,11923,11389,7958,3161
201710,우2동,6020,14425,20577,19784,15145,9222,3201
201710,괘법동,3778,12958,11847,11687,13520,6960,1865
201710,부전2동,6868,26990,18554,14583,12924,8305,2966
201710,남포동,2314,5525,6299,6793,7325,5359,1953
201710,우1동,4607,9945,13976,14043,11292,7012,2525
201711,괘법동,3903,13307,12033,12188,14291,7431,1982
201711,부전1동,4095,15367,13670,12382,12006,8521,3411
201711,남포동,1760,4977,5333,5768,6612,4946,1856
201711,부전2동,6655,27145,18355,14792,13156,8429,3038
201711,우1동,4317,8617,12482,13154,10896,6784,2524
