기준연월,분석영역,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
201601,남포동,23952,27416,29149,29972,31433,28606,21979,15674,14048,14816,17229,19186,22250,24920,26608,25276,25351,23511,24097,24877,24196,23391,23036,22682
201601,부전1동,28727,32450,37981,44762,47104,40862,27885,17882,17777,20554,24140,25987,27726,29714,30465,28823,28948,26666,27826,27086,25464,26036,28000,28873
201601,우1동,87511,99840,110978,114342,102663,64563,51373,47356,48446,52667,57538,54451,53720,54068,54881,52330,54051,51587,53351,57797,62423,67797,74526,81976
201601,우2동,43699,41817,43728,34600,33972,30828,38391,39915,45923,55495,65069,66700,70618,75054,77784,72780,73720,67817,68272,65418,60068,56189,51821,48336
201601,괘법동,49969,54067,57979,56882,53491,47168,39118,33369,35462,37417,40032,39147,39789,41043,40917,39002,39944,39059,42795,43118,43047,44371,45400,48437
201601,부전2동,109747,139456,167682,181912,168428,98062,47026,25227,25157,30306,38735,44048,50427,55737,57194,55342,57357,56284,64145,69819,70134,75553,87850,97397
201602,우1동,86162,96628,109525,111988,100827,63431,47504,41206,46870,51145,53720,54312,53488,54740,52298,54001,52099,50185,53076,57132,60827,64711,72048,80262
201602,괘법동,51742,55763,59405,59686,55770,49482,41326,33102,34717,37806,38692,40548,41435,42863,40456,41324,39719,38401,43169,43535,43292,44142,45023,48760
201602,우2동,43366,39768,37589,35156,34143,30325,35546,39000,45380,54873,62129,67439,71146,75601,73693,74529,70727,64981,67558,65678,59861,55747,52158,48271
201602,부전2동,121290,153270,182236,199125,178631,102095,48371,25073,24893,31004,37878,46489,54534,60375,58343,61423,59936,58487,67783,74095,73990,78450,92395,105392
201602,남포동,24524,27819,29937,30194,31637,28793,20656,14013,12962,14332,16108,19287,22406,25160,25313,26273,24936,23181,24571,25303,24232,23161,23085,23145
201602,부전1동,31060,35173,40773,48978,52045,45028,29892,18348,18051,21429,23842,27288,29280,31396,30336,30924,29151,26701,28574,28072,26275,26268,28491,30193
201603,남포동,23460,27599,29933,30912,32042,27178,19415,13827,13379,16004,18089,20561,23202,24401,25112,24187,23278,22591,22918,23134,22832,22043,22479,22693
201603,부전2동,109990,142711,172902,185198,163439,90317,40874,23210,25693,33559,40451,47080,53437,56223,56294,55184,55319,56986,63951,69777,70934,74033,87647,96338
201603,괘법동,51982,57156,60148,58860,54228,47475,37557,30633,35090,40482,41081,41280,42662,42111,41972,40224,39798,40099,42950,43076,43479,43918,46138,49572
201603,우2동,43634,39844,38490,35309,35196,29949,31306,35563,43557,56095,64520,68643,72656,77015,78932,76243,73747,69911,69680,66428,62309,57084,53339,48026
201603,우1동,84430,97467,111962,115852,101849,62667,44261,43429,47138,51897,53466,52170,51034,52018,52572,52227,51975,50928,51151,54681,58959,63057,69741,77795
201603,부전1동,31559,36123,42940,51014,53273,45570,28328,17849,18975,23835,26618,29265,31228,32154,32287,31109,30106,28966,29967,29032,27736,27291,29776,31113
201604,우1동,81769,94060,104760,106902,98528,59472,44688,43075,47997,52693,54006,52688,51543,52389,52848,52240,51987,51217,51227,54809,59094,63688,70953,77244
201604,괘법동,51422,55521,58057,57218,53800,46576,37839,31707,35029,40229,41140,41521,43341,42789,42898,40941,40393,40450,42936,43210,43947,44696,45962,49605
201604,부전1동,29847,34581,40839,48546,51202,43903,27407,17512,18572,23244,25715,28454,30268,31139,31074,30213,29226,28020,28656,27628,26361,26242,28509,29703
201604,남포동,24289,27222,29197,30468,30119,25776,19050,14399,14108,16860,19120,21793,24379,25849,26516,25618,24724,23580,23907,23936,23436,23119,23051,23316
201604,부전2동,110893,142854,173397,185132,168125,86824,38449,23016,25230,33271,39867,46456,52210,55014,55102,54245,53585,54254,60408,65464,68057,72623,86681,97729
201604,우2동,42501,39506,37008,34551,34107,29086,29677,33874,43347,55495,62446,66371,70680,74089,75372,72697,69531,66383,66466,63448,59509,55846,51707,47191
201605,남포동,23845,27253,28827,28041,29083,24032,18630,13837,14120,16816,19102,21858,24550,25967,26753,26057,25081,24010,24319,24399,23858,23383,23135,23268
201605,우1동,85412,96324,108121,112056,98524,59197,45462,43798,49113,54642,56056,55220,54325,54887,55630,54958,54637,53632,53886,57446,62222,67867,74920,81575
201605,우2동,43074,39659,36875,34437,32801,28406,29723,33835,42845,55889,63653,68561,73667,77581,79097,75647,72452,68386,68285,65185,60904,57134,54025,48774
201605,부전1동,30264,35172,40631,49210,51193,40911,26935,17464,18927,23440,26127,28845,30569,31798,31498,30581,29549,28311,28947,27744,26236,26198,28454,30264
201605,괘법동,51089,55345,57969,56432,53602,46074,37858,32078,35437,41082,42250,43011,44389,44088,44094,42570,41866,42242,45032,44606,44720,45552,47507,50671
201605,부전2동,110899,145367,174823,191878,171861,80830,35562,21351,23825,31542,38003,44417,50237,53274,53262,52650,52208,53492,59378,63210,64692,69901,83566,96058
201606,우2동,45649,40614,38626,35680,32623,28753,29512,33533,43075,56868,65452,70935,77167,80991,82944,79881,76017,71871,71772,67136,61935,57942,54842,50235
201606,우1동,96358,110159,124659,127752,112030,63377,47427,45968,52594,58193,59905,58876,58103,59093,59779,58962,58629,57883,58184,61661,67048,73484,81081,91269
201606,부전1동,30117,34644,40558,47123,50118,42016,27485,17828,19035,23543,26289,28897,30942,31873,31515,30475,29309,28388,29179,28081,26492,26255,28383,30308
201606,부전2동,104719,136496,163244,175109,156346,76106,36499,22214,24313,32060,38888,45031,51080,53570,53479,52795,52140,53022,58723,62842,64187,68798,81528,94182
